T,Time
1,0.0138122
1,0.0138789
1,0.0144583
1,0.0137764
1,0.0137707
1,0.0137455
1,0.0138333
1,0.013909
1,0.0138212
1,0.0137897
1,0.0145872
1,0.0138962
1,0.0142265
1,0.0139736
1,0.0138182
1,0.0138373
1,0.0138791
1,0.0139193
1,0.0138866
1,0.0138535
1,0.0137952
1,0.013822
1,0.0138008
1,0.0139412
1,0.013877
1,0.0137503
1,0.0137624
1,0.0170816
1,0.0240745
1,0.0158704
1,0.0138502
1,0.01374
1,0.0137936
1,0.0137866
1,0.0137376
1,0.0137537
1,0.0138037
1,0.0139602
1,0.0138386
1,0.0138318
1,0.0146528
1,0.0142427
1,0.0139753
1,0.0139095
1,0.0139513
1,0.0139659
1,0.0139336
1,0.0138982
1,0.0139059
1,0.0138806
2,0.0578886
2,0.057583
2,0.057504
2,0.0574754
2,0.0577641
2,0.0576941
2,0.0577638
2,0.0577163
2,0.0575069
2,0.0575272
2,0.0573623
2,0.0576856
2,0.0574678
2,0.0575329
2,0.0576787
2,0.0575424
2,0.0576476
2,0.0574573
2,0.0576285
2,0.0575412
2,0.057623
2,0.0577362
2,0.0576254
2,0.0576389
2,0.0578125
2,0.0578937
2,0.0579848
2,0.0577915
2,0.0579918
2,0.0575419
2,0.0576983
2,0.0574554
2,0.0580364
2,0.0575433
2,0.0576664
2,0.0577165
2,0.0574532
2,0.0577147
2,0.0574507
2,0.0574482
2,0.0580382
2,0.058245
2,0.0578261
2,0.0575429
2,0.0575579
2,0.0575694
2,0.057728
2,0.0579227
2,0.0575246
2,0.0576879
3,0.231368
3,0.233583
3,0.23051
3,0.232412
3,0.231051
3,0.23289
3,0.233024
3,0.231741
3,0.232454
3,0.230431
3,0.231162
3,0.231533
3,0.23236
3,0.235529
3,0.254904
3,0.248403
3,0.23402
3,0.24355
3,0.250107
3,0.24017
3,0.256405
3,0.228981
3,0.230027
3,0.232572
3,0.231493
3,0.230661
3,0.229067
3,0.231728
3,0.229574
3,0.232195
3,0.230241
3,0.231798
3,0.230739
3,0.231046
3,0.23206
3,0.230268
3,0.232075
3,0.22957
3,0.229612
3,0.228717
3,0.229158
3,0.228836
3,0.228755
3,0.229064
3,0.228679
3,0.229218
3,0.228736
3,0.231315
3,0.22847
3,0.228432
4,0.922325
4,0.923578
4,0.923823
4,0.923824
4,0.923986
4,0.923234
4,0.922893
4,0.924612
4,0.922192
4,0.921057
4,0.921763
4,0.922587
4,0.926379
4,0.927504
4,0.923322
4,0.943378
4,0.947384
4,0.930665
4,0.931757
4,0.936404
4,0.932031
4,0.93144
4,0.933157
4,0.932731
4,0.931916
4,0.933677
4,0.936819
4,0.936357
4,0.930825
4,0.953991
4,0.948022
4,0.938522
4,0.934723
4,0.933154
4,0.933658
4,0.93478
4,0.935057
4,0.934066
4,0.932112
4,0.932812
4,0.934042
4,0.934269
4,0.932682
4,0.932474
4,0.959882
4,0.933259
4,0.933394
4,0.934036
4,0.932835
4,0.932343
5,3.78741
5,3.78268
5,3.77792
5,3.78294
5,3.78062
5,3.79036
5,3.77685
5,3.76381
5,3.78058
5,3.76425
5,3.75789
5,3.75816
5,3.75375
5,3.75592
5,3.75115
5,3.77543
5,3.7632
5,3.76371
5,3.75846
5,3.7611
5,3.75941
5,3.76526
5,3.756
5,3.75498
5,3.75961
5,3.75794
5,3.82225
5,3.79079
5,3.73886
5,3.74087
5,3.73575
5,3.74419
5,3.74393
5,3.74966
5,3.80976
5,3.7583
5,3.7599
5,3.75128
5,3.74655
5,3.73893
5,3.74337
5,3.73947
5,3.73858
5,3.74227
5,3.73576
5,3.73467
5,3.74016
5,3.7618
5,3.84295
5,3.75465
6,15.05
6,15.0344
6,15.0212
6,15.0211
6,15.0208
6,15.0185
6,15.0213
6,15.0218
6,15.0322
6,15.021
6,15.124
6,15.2931
6,15.0648
6,15.0811
6,15.0517
6,15.0496
6,15.0439
6,15.0426
6,15.0449
6,15.0603
6,15.0367
6,15.1567
6,14.8835
6,14.8741
6,14.9861
6,15.0045
6,15.0243
6,15.0093
6,15.0204
6,15.0062
6,15.1202
6,15.1029
6,15.1305
6,15.1345
6,15.0088
6,15.0077
6,15.1514
6,15.13
6,15.0717
6,15.1687
6,15.1211
6,15.2564
6,15.0845
6,15.084
6,15.0516
6,15.092
6,15.1906
6,15.1712
6,15.1199
6,15.4244
